TS:  16, skip: 1, model: TCN+LSTM, sensor: GSR_frame16_skip1, classes: 2, BatchSize: 256, Accuracy: 0.56609053, f1: 0.49227692, precision: 0.52425490, recall: 0.51620373 
TS:  16, skip: 1, model: TCN+LSTM, sensor: Temp_frame16_skip1, classes: 2, BatchSize: 256, Accuracy: 0.56186557, f1: 0.52257964, precision: 0.53292596, recall: 0.52837704 
TS:  32, skip: 1, model: TCN+LSTM, sensor: All_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.58981376, f1: 0.51481454, precision: 0.54709254, recall: 0.53227016 
TS:  32, skip: 1, model: TCN+LSTM, sensor: HR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.60056071, f1: 0.37521895, precision: 0.30028036, recall: 0.50000000 
TS:  32, skip: 1, model: TCN+LSTM, sensor: RR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.60056071, f1: 0.37521895, precision: 0.30028036, recall: 0.50000000 
TS:  32, skip: 1, model: TCN+LSTM, sensor: GSR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.58093585, f1: 0.49176811, precision: 0.52844685, recall: 0.51763145 
TS:  32, skip: 1, model: TCN+LSTM, sensor: Temp_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.55236633, f1: 0.52163669, precision: 0.52384587, recall: 0.52252737 
TS:  64, skip: 1, model: TCN+LSTM, sensor: All_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.55603537, f1: 0.52304314, precision: 0.52352515, recall: 0.52471024 
TS:  64, skip: 1, model: TCN+LSTM, sensor: HR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.64990746, f1: 0.39558193, precision: 0.39430245, recall: 0.49789870 
TS:  64, skip: 1, model: TCN+LSTM, sensor: RR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.65319761, f1: 0.39511164, precision: 0.32659881, recall: 0.50000000 
TS:  64, skip: 1, model: TCN+LSTM, sensor: GSR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.65319761, f1: 0.39511164, precision: 0.32659881, recall: 0.50000000 
TS:  64, skip: 1, model: TCN+LSTM, sensor: Temp_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.63530742, f1: 0.54613918, precision: 0.56999095, recall: 0.55124952 
